Semester,Academic Year,Location,Course Number (Section),Course Name,Course Description,Department,School,Credits,Status
Intersession 2022,,['Homewood Campus'],01,Independent Study - Intersession,,['AS History of Art'],Krieger School of Arts and Sciences,0.00 - 3.00,
Intersession 2022,,['Homewood Campus'],02,Independent Study - Intersession,,['AS History of Art'],Krieger School of Arts and Sciences,0.00 - 3.00,
Intersession 2022,,['Homewood Campus'],01,Internship-Intersession,,['AS History of Art'],Krieger School of Arts and Sciences,1.00,
Intersession 2022,,['Homewood Campus'],02,Internship-Intersession,,['AS History of Art'],Krieger School of Arts and Sciences,1.00,
Intersession 2022,,['Online'],12,Clinical Nutrition,"Are you ready for 21st-century healthcare? The etiology of disease is often linked to nutrient deficiencies. We'll cover Digestive System Anatomy, Carbohydrates, Dietary Fiber, Lipids, Protein, Water, Vitamins, Minerals, and Nutrient Tracking. We'll also conduct in-class cooking demonstrations to experiment with tasty ways to prepare vegetables. Daily assignments will include keeping personalized food logs to track calories, micronutrients, fiber, and protein intake using Cronometer software.  Required Materials: 1.) eTextbook Basic Nutrition by Lori Smolin and Mary Grosvenor, 2.) Digital Gram Scale, and 3.) Computer Screen Capture Software","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
Intersession 2022,,['Online'],33,B'More: Integrative Medicine,"Worldwide, the burden of our health costs are due to preventable chronic diseases such as diabetes, obesity, cancer, cardiovascular disease, neurological and substance abuse issues. Because lifestyle, diet, lack of exercise and stress are major contributing factors, Traditional Medicine (TM) or Complementary and Alternative Medicine (CAM) approaches are becoming increasingly important globally. Distinguishing between Traditional and Modern medicines, we will consider the rising use of Integrative Medicine as the upcoming model for the Healing Arts. Students will be introduced to some of the most popular types of TM or CAM, including biologically based practices. Strategies for optimal health during your academic years will be offered and demonstrated. An interactive and eye-opening class!","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
Intersession 2022,,['Online'],22,"Becoming Your Own Biggest Change-Maker, Creating a Socially Conscious Career in Science","The world of science and medicine has the potential for great impact and over the course of the last year we have witnessed its ability to reshape policies and practices for entire communities.  As we reflect on the enormous personal and professional impact the pandemic has on us and the fields of science and medicine, students will begin to address their power and role in community action. They will identify their own personal social cause, illuminating the relationships, skills, and tactics used for social consciousness, and develop a network of collaborators.  Centered in the methods of Life Design and Emergent Strategy this course will help students develop the mindsets needed to utilize their experience in a dynamic field.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
Intersession 2022,,['Online'],13,Genetics in Self-Identity & Policy,"This course will explore the social and ethical influence of genetics in the format of a guided discussion-based seminar. Students will have the opportunity to think deeply about diverse contemporary issues rooted in genetics research. Additionally, students will explore the impact of genetics on self-identity, public perceptions, and policies through discussions of topics such as race, disabilities, and employee rights.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,2.00,
Intersession 2022,,['Homewood Campus'],01,Mentored Research,,['AS Biology'],Krieger School of Arts and Sciences,3.00,
Intersession 2022,,['Homewood Campus'],02,Mentored Research,,['AS Biology'],Krieger School of Arts and Sciences,3.00,
Intersession 2022,,['Homewood Campus'],03,Mentored Research,,['AS Biology'],Krieger School of Arts and Sciences,3.00,
Intersession 2022,,['Homewood Campus'],04,Mentored Research,,['AS Biology'],Krieger School of Arts and Sciences,3.00,
Intersession 2022,,['Homewood Campus'],01,Independent Study,,['AS Biology'],Krieger School of Arts and Sciences,2.00,
Intersession 2022,,['Homewood Campus'],02,Independent Study,,['AS Biology'],Krieger School of Arts and Sciences,2.00,
Intersession 2022,,['Homewood Campus'],01,Research - Intersession,"Planning and conducting original laboratory investigations on biological problems, collection and analysis of data, reporting of results. Juniors and Seniors Only. Recommended Course Background: Permission of full-time faculty member in Biology dept.",['AS Biology'],Krieger School of Arts and Sciences,0.00 - 3.00,
Intersession 2022,,['Homewood Campus'],02,Research - Intersession,"Planning and conducting original laboratory investigations on biological problems, collection and analysis of data, reporting of results. Juniors and Seniors Only. Recommended Course Background: Permission of full-time faculty member in Biology dept.",['AS Biology'],Krieger School of Arts and Sciences,0.00 - 3.00,
